"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 04, 2020","3,260.59","3,294.93","3,328.76","3,234.81","52.02M","-1.32%"
"Sep 03, 2020","3,304.22","3,344.21","3,396.02","3,285.55","41.86M","-1.01%"
"Sep 02, 2020","3,337.77","3,284.30","3,358.11","3,284.30","39.21M","1.84%"
"Sep 01, 2020","3,277.58","3,279.11","3,311.40","3,245.03","39.44M","0.15%"
"Aug 31, 2020","3,272.51","3,320.68","3,346.11","3,266.55","38.08M","-1.30%"
"Aug 28, 2020","3,315.54","3,333.19","3,339.74","3,296.26","34.92M","-0.47%"
"Aug 27, 2020","3,331.04","3,357.02","3,359.14","3,326.65","34.25M","-0.77%"
"Aug 26, 2020","3,356.76","3,328.42","3,357.88","3,315.40","22.97M","0.81%"
"Aug 25, 2020","3,329.71","3,335.01","3,373.47","3,329.71","33.09M","-0.06%"
"Aug 24, 2020","3,331.74","3,269.51","3,338.47","3,269.51","29.47M","2.21%"
"Aug 21, 2020","3,259.75","3,277.61","3,292.57","3,221.42","35.55M","-0.43%"
"Aug 20, 2020","3,273.98","3,306.69","3,306.69","3,257.60","28.00M","-1.32%"
"Aug 19, 2020","3,317.62","3,287.08","3,317.84","3,275.51","21.32M","0.85%"
"Aug 18, 2020","3,289.64","3,301.36","3,333.64","3,276.02","28.15M","-0.49%"
"Aug 17, 2020","3,305.85","3,305.65","3,319.10","3,285.99","23.39M","0.02%"
"Aug 14, 2020","3,305.05","3,339.33","3,339.33","3,275.91","30.33M","-1.13%"
"Aug 13, 2020","3,342.85","3,358.09","3,368.07","3,336.57","27.82M","-0.60%"
"Aug 12, 2020","3,363.18","3,327.88","3,377.44","3,321.46","39.37M","0.93%"
"Aug 11, 2020","3,332.12","3,269.91","3,349.76","3,269.91","43.23M","2.22%"
"Aug 10, 2020","3,259.71","3,259.27","3,276.61","3,239.25","26.23M","0.22%"
"Aug 07, 2020","3,252.65","3,240.52","3,256.92","3,220.05","37.02M","0.38%"
"Aug 06, 2020","3,240.39","3,264.08","3,286.10","3,223.75","65.36M","-0.86%"
"Aug 05, 2020","3,268.38","3,258.32","3,293.17","3,258.32","41.26M","0.43%"
"Aug 04, 2020","3,254.29","3,253.84","3,278.56","3,230.52","47.68M","0.19%"
"Aug 03, 2020","3,248.28","3,177.76","3,263.65","3,173.98","48.85M","2.33%"
"Jul 31, 2020","3,174.32","3,211.21","3,245.97","3,174.32","55.69M","-1.06%"
"Jul 30, 2020","3,208.20","3,300.61","3,300.61","3,174.38","60.17M","-2.79%"
"Jul 29, 2020","3,300.16","3,304.22","3,314.96","3,293.62","35.92M","-0.10%"
"Jul 28, 2020","3,303.56","3,302.68","3,316.82","3,280.67","31.36M","0.02%"
"Jul 27, 2020","3,302.84","3,308.17","3,317.18","3,292.48","29.10M","-0.24%"
"Jul 24, 2020","3,310.89","3,349.54","3,349.54","3,294.89","34.26M","-1.80%"
"Jul 23, 2020","3,371.74","3,379.57","3,400.92","3,362.34","35.87M","0.03%"
"Jul 22, 2020","3,370.76","3,399.88","3,402.19","3,361.53","37.09M","-1.02%"
"Jul 21, 2020","3,405.35","3,404.16","3,451.16","3,401.42","50.37M","0.50%"
"Jul 20, 2020","3,388.34","3,361.25","3,393.43","3,332.64","31.56M","0.68%"
"Jul 17, 2020","3,365.60","3,370.51","3,375.22","3,353.98","40.43M","0.01%"
"Jul 16, 2020","3,365.35","3,371.05","3,376.58","3,340.96","34.87M","-0.38%"
"Jul 15, 2020","3,378.21","3,331.84","3,399.71","3,331.84","46.66M","1.71%"
"Jul 14, 2020","3,321.39","3,330.08","3,330.08","3,277.40","36.82M","-0.85%"
"Jul 13, 2020","3,350.00","3,311.82","3,353.26","3,307.56","32.80M","1.63%"
"Jul 10, 2020","3,296.22","3,255.40","3,299.54","3,241.29","31.88M","1.07%"
"Jul 09, 2020","3,261.17","3,291.70","3,315.54","3,253.58","33.33M","-0.76%"
"Jul 08, 2020","3,286.09","3,310.83","3,324.85","3,278.10","38.17M","-1.07%"
"Jul 07, 2020","3,321.56","3,338.72","3,338.72","3,299.99","34.87M","-0.85%"
"Jul 06, 2020","3,350.03","3,314.40","3,375.70","3,314.40","43.07M","1.69%"
"Jul 03, 2020","3,294.38","3,321.83","3,330.48","3,279.07","28.27M","-0.77%"
"Jul 02, 2020","3,320.09","3,239.48","3,335.40","3,239.48","54.20M","2.84%"
"Jul 01, 2020","3,228.45","3,239.86","3,250.56","3,181.12","34.84M","-0.17%"
"Jun 30, 2020","3,234.07","3,235.87","3,249.43","3,209.96","41.99M","0.06%"
"Jun 29, 2020","3,232.02","3,196.21","3,252.33","3,183.11","38.66M","0.87%"
"Jun 26, 2020","3,204.17","3,233.14","3,272.97","3,199.81","37.10M","-0.46%"
"Jun 25, 2020","3,218.91","3,196.25","3,235.36","3,149.67","44.00M","0.71%"
"Jun 24, 2020","3,196.12","3,289.00","3,289.00","3,196.12","45.12M","-3.11%"
"Jun 23, 2020","3,298.83","3,253.33","3,317.87","3,253.33","47.21M","1.76%"
"Jun 22, 2020","3,241.69","3,259.43","3,279.42","3,219.15","35.28M","-0.84%"
"Jun 19, 2020","3,269.10","3,257.00","3,300.66","3,257.00","111.74M","0.59%"
"Jun 18, 2020","3,249.90","3,260.67","3,288.18","3,225.10","53.77M","-0.53%"
"Jun 17, 2020","3,267.26","3,240.09","3,282.92","3,238.56","51.16M","0.76%"
"Jun 16, 2020","3,242.65","3,156.03","3,277.87","3,156.03","65.93M","3.39%"
"Jun 15, 2020","3,136.40","3,131.43","3,153.37","3,054.11","52.22M","-0.55%"
"Jun 12, 2020","3,153.74","3,135.22","3,213.76","3,110.30","56.15M","0.29%"
"Jun 11, 2020","3,144.57","3,263.61","3,263.61","3,144.57","75.07M","-4.53%"
"Jun 10, 2020","3,293.71","3,327.31","3,355.76","3,289.25","52.91M","-0.81%"
"Jun 09, 2020","3,320.71","3,368.55","3,377.20","3,294.74","74.58M","-1.41%"
"Jun 08, 2020","3,368.35","3,356.25","3,394.91","3,341.25","-","-0.47%"
"Jun 05, 2020","3,384.29","3,281.92","3,386.96","3,281.92","92.61M","3.76%"
"Jun 04, 2020","3,261.67","3,261.09","3,293.26","3,232.79","72.91M","-0.24%"
"Jun 03, 2020","3,269.59","3,169.73","3,275.68","3,169.73","72.25M","3.58%"
"Jun 02, 2020","3,156.45","3,123.55","3,168.49","3,108.55","-","3.48%"
"May 29, 2020","3,050.20","3,081.78","3,096.24","3,049.33","74.78M","-1.43%"
"May 28, 2020","3,094.47","3,058.75","3,102.96","3,053.76","58.75M","1.42%"
"May 27, 2020","3,051.08","3,004.09","3,067.35","3,002.66","79.31M","1.73%"
"May 26, 2020","2,999.22","2,983.65","3,009.43","2,978.53","57.52M","0.94%"
"May 25, 2020","2,971.35","2,919.10","2,971.35","2,912.96","26.95M","2.27%"
"May 22, 2020","2,905.47","2,889.38","2,922.20","2,854.07","45.18M","0.02%"
"May 21, 2020","2,904.98","2,927.65","2,936.82","2,897.78","38.84M","-1.27%"
"May 20, 2020","2,942.39","2,895.51","2,946.47","2,874.95","53.60M","1.37%"
"May 19, 2020","2,902.58","2,931.17","2,944.96","2,876.66","67.92M","-0.32%"
"May 18, 2020","2,911.88","2,800.07","2,923.32","2,800.07","49.02M","5.10%"
"May 15, 2020","2,770.70","2,777.43","2,801.85","2,755.15","45.57M","0.38%"
"May 14, 2020","2,760.23","2,796.48","2,796.48","2,708.07","57.06M","-1.79%"
"May 13, 2020","2,810.55","2,872.01","2,872.01","2,805.27","43.28M","-2.55%"
"May 12, 2020","2,884.20","2,878.61","2,896.40","2,871.25","34.34M","0.02%"
"May 11, 2020","2,883.75","2,915.72","2,927.26","2,861.71","34.18M","-0.84%"
"May 08, 2020","2,908.11","2,892.95","2,912.02","2,887.49","30.05M","0.96%"
"May 07, 2020","2,880.60","2,842.82","2,883.02","2,842.82","40.52M","1.30%"
"May 06, 2020","2,843.76","2,876.45","2,878.70","2,839.77","41.34M","-1.12%"
"May 05, 2020","2,875.91","2,830.33","2,878.51","2,827.37","48.88M","2.11%"
"May 04, 2020","2,816.48","2,898.89","2,898.89","2,801.07","57.39M","-3.81%"
"May 01, 2020","2,927.93","2,927.93","2,927.93","2,927.93","72.74M","0.00%"
"Apr 30, 2020","2,927.93","3,003.21","3,023.83","2,917.31","72.74M","-2.27%"
"Apr 29, 2020","2,996.08","2,934.49","3,000.49","2,919.74","50.04M","2.18%"
"Apr 28, 2020","2,932.06","2,882.81","2,951.35","2,880.72","54.62M","1.73%"
"Apr 27, 2020","2,882.09","2,838.96","2,882.11","2,838.96","36.12M","2.60%"
"Apr 24, 2020","2,809.07","2,837.33","2,849.08","2,799.12","42.44M","-1.52%"
"Apr 23, 2020","2,852.46","2,837.32","2,883.60","2,815.12","41.58M","0.62%"
"Apr 22, 2020","2,834.90","2,800.81","2,838.26","2,800.81","41.19M","1.56%"
"Apr 21, 2020","2,791.34","2,889.57","2,889.57","2,791.34","50.94M","-4.06%"
"Apr 20, 2020","2,909.50","2,894.91","2,909.50","2,839.18","42.21M","0.73%"
"Apr 17, 2020","2,888.30","2,842.10","2,931.55","2,842.10","61.20M","2.70%"
"Apr 16, 2020","2,812.35","2,826.70","2,853.57","2,792.17","53.50M","0.15%"
"Apr 15, 2020","2,808.20","2,914.30","2,914.30","2,795.47","60.15M","-3.75%"
"Apr 14, 2020","2,917.74","2,911.20","2,956.22","2,905.72","51.06M","0.86%"
"Apr 09, 2020","2,892.79","2,864.45","2,922.07","2,833.45","63.03M","1.46%"
"Apr 08, 2020","2,851.27","2,846.25","2,851.27","2,793.71","47.43M","-0.22%"
"Apr 07, 2020","2,857.67","2,819.53","2,914.46","2,819.53","68.93M","2.21%"
"Apr 06, 2020","2,795.97","2,701.86","2,804.70","2,701.86","58.55M","4.99%"
"Apr 03, 2020","2,662.99","2,686.07","2,693.50","2,655.80","63.60M","-0.95%"
"Apr 02, 2020","2,688.49","2,693.13","2,711.45","2,626.10","66.56M","0.31%"
"Apr 01, 2020","2,680.30","2,760.54","2,760.54","2,663.42","63.22M","-3.83%"
"Mar 31, 2020","2,786.90","2,780.80","2,827.32","2,728.02","74.50M","0.77%"
"Mar 30, 2020","2,765.62","2,734.92","2,765.62","2,658.88","64.13M","1.35%"
"Mar 27, 2020","2,728.65","2,803.09","2,803.09","2,694.78","66.18M","-4.18%"
"Mar 26, 2020","2,847.78","2,765.86","2,847.78","2,706.29","65.31M","1.70%"
"Mar 25, 2020","2,800.14","2,756.99","2,829.34","2,670.27","90.51M","3.13%"
"Mar 24, 2020","2,715.11","2,507.61","2,715.11","2,507.61","87.88M","9.24%"
"Mar 23, 2020","2,485.54","2,520.48","2,588.48","2,427.87","-","-2.47%"
"Mar 20, 2020","2,548.50","2,475.14","2,613.53","2,475.14","133.71M","3.85%"
"Mar 19, 2020","2,454.08","2,388.94","2,461.57","2,345.30","101.35M","2.86%"
"Mar 18, 2020","2,385.82","2,507.33","2,507.33","2,365.70","98.21M","-5.72%"
"Mar 17, 2020","2,530.50","2,475.18","2,555.41","2,376.23","106.91M","3.27%"
"Mar 16, 2020","2,450.37","2,557.71","2,557.71","2,302.84","137.14M","-5.25%"
"Mar 13, 2020","2,586.02","2,584.36","2,793.27","2,537.27","136.55M","1.60%"
"Mar 12, 2020","2,545.23","2,883.25","2,883.25","2,535.89","167.33M","-12.40%"
"Mar 11, 2020","2,905.56","2,924.93","2,998.65","2,893.43","87.72M","-0.15%"
"Mar 10, 2020","2,910.02","2,973.61","3,088.57","2,896.74","118.22M","-1.66%"
"Mar 09, 2020","2,959.07","3,214.20","3,214.20","2,939.85","143.37M","-8.45%"
"Mar 06, 2020","3,232.07","3,347.83","3,347.83","3,216.44","85.09M","-3.91%"
"Mar 05, 2020","3,363.58","3,431.78","3,438.06","3,338.41","73.06M","-1.67%"
"Mar 04, 2020","3,420.56","3,374.00","3,438.21","3,350.23","66.43M","1.44%"
"Mar 03, 2020","3,371.97","3,355.52","3,448.24","3,354.30","79.45M","0.99%"
"Mar 02, 2020","3,338.83","3,355.33","3,406.40","3,257.99","90.02M","0.28%"
"Feb 28, 2020","3,329.49","3,431.52","3,431.52","3,283.18","123.09M","-3.66%"
"Feb 27, 2020","3,455.92","3,553.05","3,553.05","3,410.70","86.76M","-3.40%"
"Feb 26, 2020","3,577.68","3,567.03","3,595.80","3,467.58","71.79M","0.14%"
"Feb 25, 2020","3,572.51","3,655.84","3,668.70","3,568.48","62.81M","-2.07%"
"Feb 24, 2020","3,647.98","3,762.35","3,762.35","3,632.29","80.00M","-4.01%"
"Feb 21, 2020","3,800.38","3,816.51","3,827.36","3,776.82","48.44M","-0.59%"
"Feb 20, 2020","3,822.98","3,867.28","3,867.28","3,822.98","41.28M","-1.09%"
"Feb 19, 2020","3,865.18","3,846.39","3,865.43","3,846.39","40.37M","0.75%"
"Feb 18, 2020","3,836.54","3,848.56","3,848.56","3,826.23","53.06M","-0.43%"
"Feb 17, 2020","3,853.27","3,843.10","3,854.30","3,841.06","24.26M","0.32%"
"Feb 14, 2020","3,840.97","3,847.93","3,851.42","3,835.79","29.90M","-0.15%"
"Feb 13, 2020","3,846.74","3,849.10","3,849.10","3,799.98","38.74M","-0.20%"
"Feb 12, 2020","3,854.43","3,829.66","3,854.43","3,829.66","42.24M","0.75%"
"Feb 11, 2020","3,825.84","3,804.46","3,832.06","3,804.46","38.62M","0.86%"
"Feb 10, 2020","3,793.18","3,794.18","3,794.18","3,779.10","28.46M","-0.14%"
"Feb 07, 2020","3,798.49","3,804.86","3,806.06","3,782.21","39.16M","-0.18%"
"Feb 06, 2020","3,805.52","3,791.07","3,808.74","3,790.54","52.51M","0.73%"
"Feb 05, 2020","3,777.84","3,727.22","3,782.85","3,717.72","56.85M","1.22%"
"Feb 04, 2020","3,732.28","3,670.98","3,732.28","3,670.98","45.38M","1.94%"
"Feb 03, 2020","3,661.27","3,646.86","3,673.28","3,641.84","32.50M","0.56%"
"Jan 31, 2020","3,640.91","3,697.67","3,705.33","3,639.44","49.70M","-1.35%"
"Jan 30, 2020","3,690.78","3,717.93","3,717.93","3,676.66","42.46M","-1.22%"
"Jan 29, 2020","3,736.36","3,717.64","3,743.26","3,715.74","36.47M","0.46%"
"Jan 28, 2020","3,719.22","3,684.69","3,722.71","3,671.74","37.48M","1.13%"
"Jan 27, 2020","3,677.84","3,754.63","3,754.63","3,673.80","44.84M","-2.68%"
"Jan 24, 2020","3,779.16","3,744.75","3,795.33","3,744.75","31.73M","1.13%"
"Jan 23, 2020","3,736.85","3,764.10","3,770.01","3,734.06","33.33M","-0.87%"
"Jan 22, 2020","3,769.79","3,792.05","3,802.68","3,765.49","32.48M","-0.51%"
"Jan 21, 2020","3,789.12","3,786.26","3,789.12","3,760.36","27.59M","-0.26%"
"Jan 20, 2020","3,799.03","3,804.74","3,805.61","3,791.51","20.83M","-0.24%"
"Jan 17, 2020","3,808.26","3,780.54","3,813.80","3,780.54","33.00M","0.90%"
"Jan 16, 2020","3,774.14","3,770.96","3,785.67","3,758.55","17.58M","0.14%"
"Jan 15, 2020","3,768.96","3,774.93","3,778.94","3,755.30","33.41M","-0.16%"
"Jan 14, 2020","3,774.88","3,779.35","3,783.76","3,745.47","33.07M","-0.13%"
"Jan 13, 2020","3,779.68","3,789.87","3,798.58","3,768.45","27.51M","-0.26%"
"Jan 10, 2020","3,789.52","3,801.12","3,803.91","3,786.93","27.40M","-0.17%"
"Jan 09, 2020","3,795.88","3,782.77","3,807.09","3,782.77","33.48M","0.62%"
"Jan 08, 2020","3,772.56","3,752.87","3,775.43","3,732.90","34.99M","0.35%"
"Jan 07, 2020","3,759.25","3,760.09","3,784.42","3,748.13","29.85M","0.18%"
"Jan 06, 2020","3,752.52","3,764.34","3,764.34","3,710.94","28.34M","-0.55%"
"Jan 03, 2020","3,773.37","3,787.57","3,787.57","3,745.54","30.34M","-0.52%"
"Jan 02, 2020","3,793.24","3,754.24","3,801.13","3,754.24","29.92M","1.28%"
"Dec 31, 2019","3,745.15","3,746.61","3,749.10","3,738.45","22.07M","-0.09%"
"Dec 30, 2019","3,748.47","3,780.44","3,780.44","3,748.47","18.68M","-0.89%"
"Dec 27, 2019","3,782.27","3,776.82","3,794.93","3,775.26","24.44M","0.21%"
"Dec 24, 2019","3,774.39","3,774.13","3,774.66","3,770.91","15.42M","-0.06%"
"Dec 23, 2019","3,776.66","3,775.07","3,778.98","3,767.80","23.06M","0.00%"
"Dec 20, 2019","3,776.56","3,740.71","3,776.56","3,738.22","84.85M","1.00%"
"Dec 19, 2019","3,739.17","3,741.53","3,747.34","3,722.57","35.61M","0.00%"
"Dec 18, 2019","3,739.00","3,744.00","3,755.81","3,739.00","33.48M","-0.17%"
"Dec 17, 2019","3,745.28","3,769.14","3,769.14","3,742.62","37.23M","-0.73%"
"Dec 16, 2019","3,772.74","3,738.91","3,778.47","3,738.91","30.02M","1.12%"
"Dec 13, 2019","3,731.07","3,720.65","3,765.70","3,720.65","49.28M","0.67%"
"Dec 12, 2019","3,706.35","3,689.67","3,723.60","3,675.63","40.50M","0.51%"
"Dec 11, 2019","3,687.45","3,667.45","3,692.11","3,659.53","26.62M","0.43%"
"Dec 10, 2019","3,671.78","3,671.97","3,675.88","3,625.00","28.58M","-0.01%"
"Dec 09, 2019","3,672.18","3,691.86","3,691.86","3,671.07","26.45M","-0.55%"
"Dec 06, 2019","3,692.34","3,653.23","3,692.71","3,653.23","29.11M","1.21%"
"Dec 05, 2019","3,648.13","3,663.00","3,683.07","3,648.13","25.38M","-0.32%"
"Dec 04, 2019","3,660.02","3,611.95","3,665.90","3,611.95","32.16M","1.36%"
"Dec 03, 2019","3,610.99","3,635.15","3,647.52","3,594.80","37.67M","-0.43%"
"Dec 02, 2019","3,626.66","3,703.76","3,729.74","3,623.12","44.66M","-2.08%"
"Nov 29, 2019","3,703.58","3,699.34","3,719.83","3,686.94","28.77M","-0.02%"
"Nov 28, 2019","3,704.48","3,707.05","3,708.16","3,698.22","20.88M","-0.23%"
"Nov 27, 2019","3,712.85","3,708.71","3,721.76","3,704.49","27.54M","0.20%"
"Nov 26, 2019","3,705.55","3,708.43","3,711.75","3,694.70","42.78M","-0.06%"
"Nov 25, 2019","3,707.68","3,697.49","3,710.87","3,697.49","23.58M","0.55%"
"Nov 22, 2019","3,687.32","3,682.22","3,709.88","3,682.22","31.89M","0.21%"
"Nov 21, 2019","3,679.66","3,675.75","3,688.37","3,651.51","30.18M","-0.11%"
"Nov 20, 2019","3,683.88","3,688.86","3,688.86","3,663.21","30.77M","-0.34%"
"Nov 19, 2019","3,696.56","3,704.88","3,733.45","3,688.59","29.83M","-0.23%"
"Nov 18, 2019","3,704.92","3,711.18","3,716.79","3,687.30","29.75M","-0.18%"
"Nov 15, 2019","3,711.61","3,698.06","3,713.26","3,690.06","33.45M","0.62%"
"Nov 14, 2019","3,688.81","3,699.73","3,702.94","3,687.27","31.67M","-0.29%"
"Nov 13, 2019","3,699.50","3,710.74","3,710.74","3,679.63","39.60M","-0.34%"
"Nov 12, 2019","3,712.20","3,700.49","3,719.40","3,700.11","34.98M","0.42%"
"Nov 11, 2019","3,696.82","3,696.97","3,702.78","3,683.33","31.57M","-0.08%"
"Nov 08, 2019","3,699.65","3,703.35","3,706.91","3,687.99","42.03M","-0.19%"
"Nov 07, 2019","3,706.68","3,694.97","3,708.65","3,694.97","44.58M","0.49%"
"Nov 06, 2019","3,688.74","3,675.43","3,692.20","3,671.24","42.30M","0.33%"
"Nov 05, 2019","3,676.52","3,666.54","3,678.63","3,661.21","48.16M","0.31%"
"Nov 04, 2019","3,665.21","3,631.45","3,671.81","3,631.45","41.80M","1.14%"
"Nov 01, 2019","3,623.74","3,610.22","3,633.64","3,607.68","27.79M","0.54%"
"Oct 31, 2019","3,604.41","3,625.36","3,631.87","3,593.60","44.94M","-0.44%"
"Oct 30, 2019","3,620.29","3,616.25","3,624.53","3,596.30","42.74M","-0.05%"
"Oct 29, 2019","3,622.09","3,625.53","3,625.99","3,611.77","34.74M","-0.10%"
"Oct 28, 2019","3,625.69","3,623.84","3,637.94","3,614.83","31.46M","0.03%"
"Oct 25, 2019","3,624.68","3,622.79","3,631.04","3,604.40","32.17M","0.09%"
"Oct 24, 2019","3,621.37","3,611.62","3,626.88","3,607.84","51.63M","0.40%"
